440,370,420,490,480,500,560,700,680,-1,-1
460,380,460,510,500,510,560,703,700,-1,-1
480,410,480,540,520,515,556,706,710,-1,-1
500,430,530,560,530,520,552,709,720,-1,-1
520,460,550,570,540,530,548,712,730,-1,-1
540,520,560,580,560,540,544,715,740,-1,-1
560,600,570,600,580,550,540,718,742,-1,-1
580,660,580,620,590,560,540,721,744,-1,-1
600,680,590,630,600,570,543,724,746,-1,-1
620,690,600,650,620,580,546,727,748,-1,-1
640,700,610,660,625,585,549,730,750,-1,-1
660,720,620,680,630,590,552,733,752,-1,-1
680,730,630,700,640,600,555,736,754,-1,-1
700,740,640,720,650,610,558,739,756,-1,-1
720,740,640,720,650,610,861,820,856,-1,-1